"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 03, 2015","6,000","5,809","6,000","5,603","1.22M","3.63%"
"Nov 02, 2015","5,790","5,962","5,992","5,613","992.01K","-3.37%"
"Oct 30, 2015","5,992","5,780","6,224","5,401","1.72M","5.53%"
"Oct 29, 2015","5,678","6,182","6,183","5,607","1.43M","-9.77%"
"Oct 28, 2015","6,293","6,700","6,730","6,050","1.20M","-3.92%"
"Oct 27, 2015","6,550","7,392","7,450","6,503","1.34M","-10.85%"
"Oct 26, 2015","7,347","7,687","7,687","7,257","949.66K","-4.58%"
"Oct 23, 2015","7,700","7,630","7,950","7,505","2.14M","2.28%"
"Oct 22, 2015","7,528","7,930","7,959","7,300","1.73M","-5.96%"
"Oct 21, 2015","8,005","8,130","8,493","7,980","895.45K","-0.17%"
"Oct 20, 2015","8,019","8,099","8,299","7,901","1.04M","-1.67%"
"Oct 19, 2015","8,155","8,101","8,238","7,853","396.06K","0.32%"
"Oct 16, 2015","8,129","8,568","8,699","8,000","410.84K","-2.83%"
"Oct 15, 2015","8,366","8,601","8,900","8,352","457.51K","-2.71%"
"Oct 14, 2015","8,599","8,400","8,724","8,263","630.47K","0.12%"
"Oct 13, 2015","8,589","8,458","8,629","8,258","1.79M","0.55%"
"Oct 12, 2015","8,542","8,844","9,067","8,511","1.73M","-3.94%"
"Oct 09, 2015","8,892","9,000","9,175","8,852","2.32M","-0.92%"
"Oct 08, 2015","8,975","8,900","9,096","8,361","1.94M","0.38%"
"Oct 07, 2015","8,941","8,586","9,111","8,470","940.61K","4.99%"
"Oct 06, 2015","8,516","8,295","8,631","8,021","688.37K","3.85%"
"Oct 05, 2015","8,200","8,125","8,295","7,841","453.69K","5.33%"
"Oct 02, 2015","7,785","7,894","8,111","7,500","1.14M","-0.03%"
"Oct 01, 2015","7,787","8,090","8,179","7,766","1.21M","-0.80%"
"Sep 30, 2015","7,850","7,800","8,105","7,618","732.70K","3.36%"
"Sep 29, 2015","7,595","7,216","7,793","7,100","451.88K","4.04%"
"Sep 28, 2015","7,300","8,520","8,597","7,248","1.14M","-14.12%"
"Sep 25, 2015","8,500","8,773","8,844","8,281","566.82K","-1.70%"
"Sep 23, 2015","8,647","8,561","8,837","8,335","1.43M","0.19%"
"Sep 22, 2015","8,631","9,824","9,824","8,401","1.35M","-12.14%"
"Sep 21, 2015","9,824","9,720","10,140","9,604","763.31K","1.00%"
"Sep 18, 2015","9,727","9,747","10,044","9,634","2.45M","-0.84%"
"Sep 17, 2015","9,809","9,750","10,078","9,545","996.93K","-0.36%"
"Sep 16, 2015","9,844","9,550","9,844","9,350","695.39K","3.11%"
"Sep 15, 2015","9,547","9,310","9,615","9,310","1.03M","1.56%"
"Sep 14, 2015","9,400","9,500","9,691","9,326","906.01K","-2.08%"
"Sep 11, 2015","9,600","9,236","9,738","9,187","750.09K","4.00%"
"Sep 10, 2015","9,231","8,960","9,231","8,840","685.84K","1.50%"
"Sep 09, 2015","9,095","9,019","9,200","8,988","976.31K","2.71%"
"Sep 08, 2015","8,855","8,750","9,100","8,510","304.92K","2.57%"
"Sep 07, 2015","8,633","8,600","8,797","8,351","323.72K","0.54%"
"Sep 04, 2015","8,587","9,199","9,338","8,465","472.87K","-7.17%"
"Sep 03, 2015","9,250","9,095","9,350","8,852","503.12K","4.82%"
"Sep 02, 2015","8,825","8,900","9,044","8,652","491.64K","0.20%"
"Sep 01, 2015","8,807","8,661","9,230","8,583","642.86K","-2.51%"
"Aug 31, 2015","9,034","9,099","9,156","8,631","1.39M","-0.14%"
"Aug 28, 2015","9,047","8,832","9,150","8,760","793.38K","5.20%"
"Aug 27, 2015","8,600","8,570","8,813","8,425","521.60K","2.99%"
"Aug 26, 2015","8,350","8,210","8,719","8,169","980.56K","1.29%"
"Aug 25, 2015","8,244","8,377","8,872","8,200","1.78M","-1.59%"
"Aug 24, 2015","8,377","8,501","8,749","8,100","808.61K","-6.43%"
"Aug 21, 2015","8,953","8,940","9,565","8,903","1.03M","-2.46%"
"Aug 20, 2015","9,179","8,600","9,280","8,414","1.36M","6.05%"
"Aug 19, 2015","8,655","9,285","9,329","8,600","714.86K","-6.08%"
"Aug 18, 2015","9,215","9,200","9,397","8,947","1.25M","-0.91%"
"Aug 17, 2015","9,300","9,415","9,427","9,201","435.64K","-1.22%"
"Aug 14, 2015","9,415","9,600","9,662","9,411","518.23K","-2.44%"
"Aug 13, 2015","9,650","9,893","9,893","9,522","677.54K","1.30%"
"Aug 12, 2015","9,526","9,600","9,704","9,327","1.06M","-3.77%"
"Aug 11, 2015","9,899","9,700","10,182","9,522","947.88K","2.42%"
"Aug 07, 2015","9,665","9,450","9,788","9,450","1.10M","2.76%"
"Aug 06, 2015","9,405","10,000","10,050","9,405","1.07M","-5.91%"
"Aug 05, 2015","9,996","9,800","10,270","9,700","1.24M","1.63%"
"Aug 04, 2015","9,836","10,200","10,200","9,485","1.30M","-3.63%"
"Aug 03, 2015","10,207","10,739","10,995","10,207","543.75K","-6.00%"
"Jul 31, 2015","10,859","10,935","11,198","10,627","1.83M","-0.69%"
"Jul 30, 2015","10,934","11,300","11,341","10,753","711.25K","-1.50%"
"Jul 29, 2015","11,100","11,062","11,288","10,734","1.26M","1.83%"
"Jul 28, 2015","10,900","10,628","10,925","10,300","981.37K","3.90%"
"Jul 27, 2015","10,491","10,320","10,715","10,151","1.24M","1.96%"
"Jul 24, 2015","10,289","11,390","11,390","10,289","1.24M","-9.50%"
"Jul 23, 2015","11,369","11,852","11,978","11,251","654.71K","-4.08%"
"Jul 22, 2015","11,852","12,200","12,389","11,611","768.52K","-3.49%"
