"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 06, 2016","15,278","14,990","15,278","14,754","2.87M","2.88%"
"Sep 05, 2016","14,850","14,865","15,080","14,700","1.67M","-0.10%"
"Sep 02, 2016","14,865","14,403","14,893","14,379","3.25M","3.95%"
"Sep 01, 2016","14,300","14,890","14,969","14,271","3.67M","-3.96%"
"Aug 31, 2016","14,890","15,400","15,460","14,830","3.35M","-2.36%"
"Aug 30, 2016","15,250","15,372","15,586","15,189","2.12M","-0.68%"
"Aug 29, 2016","15,355","15,327","15,521","15,077","2.51M","0.23%"
"Aug 26, 2016","15,320","15,190","15,600","15,190","4.14M","-0.15%"
"Aug 25, 2016","15,343","15,624","15,880","15,184","4.21M","-1.01%"
"Aug 24, 2016","15,500","16,000","16,000","14,871","6.25M","-5.14%"
"Aug 23, 2016","16,340","16,308","16,539","16,137","1.40M","0.50%"
"Aug 22, 2016","16,258","16,366","16,441","16,072","1.12M","-1.47%"
"Aug 19, 2016","16,500","16,263","16,596","16,151","2.14M","0.91%"
"Aug 18, 2016","16,352","16,128","16,570","15,920","2.78M","2.20%"
"Aug 17, 2016","16,000","16,187","16,374","15,804","1.56M","-1.51%"
"Aug 16, 2016","16,245","16,300","16,674","16,061","1.52M","-1.29%"
"Aug 15, 2016","16,457","16,415","16,617","16,200","2.27M","-0.26%"
"Aug 12, 2016","16,500","16,186","16,678","16,186","1.74M","2.14%"
"Aug 11, 2016","16,154","16,177","16,242","15,805","3.11M","-0.14%"
