"Date","Price","Open","High","Low","Change %"
"Feb 26, 2015","11.5345","11.4330","11.5475","11.3580","0.74%"
"Feb 25, 2015","11.4503","11.4710","11.5292","11.4025","-0.25%"
"Feb 24, 2015","11.4785","11.6310","11.6758","11.4610","-1.35%"
"Feb 23, 2015","11.6360","11.6190","11.7505","11.6080","0.12%"
"Feb 20, 2015","11.6215","11.6735","11.6890","11.6073","-0.49%"
"Feb 19, 2015","11.6785","11.5940","11.6955","11.5410","0.69%"
"Feb 18, 2015","11.5990","11.6720","11.7465","11.5775","-0.65%"
"Feb 17, 2015","11.6750","11.6425","11.6935","11.5755","0.24%"
"Feb 16, 2015","11.6475","11.6450","11.6940","11.6114","-0.19%"
"Feb 13, 2015","11.6695","11.7110","11.7838","11.6205","-0.37%"
"Feb 12, 2015","11.7125","11.8150","11.8805","11.6820","-0.91%"
"Feb 11, 2015","11.8200","11.6800","11.8995","11.6600","1.17%"
"Feb 10, 2015","11.6832","11.5790","11.7238","11.5440","0.86%"
"Feb 09, 2015","11.5840","11.5000","11.6130","11.4870","0.62%"
"Feb 06, 2015","11.5130","11.2630","11.5433","11.2630","2.16%"
"Feb 05, 2015","11.2700","11.4705","11.4950","11.2540","-1.79%"
"Feb 04, 2015","11.4755","11.3755","11.4975","11.3673","0.83%"
"Feb 03, 2015","11.3805","11.4955","11.5575","11.3605","-1.04%"
"Feb 02, 2015","11.5005","11.6435","11.6480","11.4830","-1.26%"
"Jan 30, 2015","11.6468","11.5505","11.6778","11.5210","0.80%"
"Jan 29, 2015","11.5545","11.5760","11.6730","11.5069","-0.23%"
"Jan 28, 2015","11.5810","11.5815","11.6015","11.4900","-0.05%"
"Jan 27, 2015","11.5865","11.4562","11.6160","11.4390","1.09%"
"Jan 26, 2015","11.4620","11.4380","11.4995","11.4010","0.41%"
"Jan 23, 2015","11.4148","11.3935","11.4838","11.3707","0.13%"
"Jan 22, 2015","11.4000","11.5160","11.5640","11.3580","-0.99%"
