"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 19, 2017","52,900.77","52,905.12","53,072.65","52,778.35","205.98M","-0.06%"
"Jan 18, 2017","52,933.28","52,969.74","53,149.05","52,762.03","238.76M","0.22%"
"Jan 17, 2017","52,817.73","52,890.44","53,144.64","52,732.56","303.64M","-0.64%"
"Jan 16, 2017","53,158.54","52,636.34","53,188.77","52,570.37","219.76M","0.69%"
"Jan 13, 2017","52,794.81","52,482.89","52,838.19","52,430.30","205.43M","0.67%"
"Jan 12, 2017","52,444.36","52,408.55","52,837.16","52,322.88","240.33M","0.01%"
"Jan 11, 2017","52,437.91","51,744.50","52,443.97","51,662.46","260.38M","1.35%"
"Jan 10, 2017","51,740.17","51,270.18","51,787.55","51,075.11","179.38M","1.35%"
"Jan 09, 2017","51,049.71","51,299.62","51,571.45","50,990.91","136.16M","-0.32%"
"Jan 06, 2017","51,216.00","50,598.24","51,280.84","50,419.46","141.74M","1.47%"
"Jan 05, 2017","50,474.95","50,874.55","51,038.87","50,338.30","161.90M","-0.56%"
"Jan 04, 2017","50,760.24","50,930.32","51,021.92","50,367.97","175.30M","-0.51%"
"Jan 03, 2017","51,020.66","50,851.51","51,119.06","50,851.51","152.08M","0.72%"
"Dec 30, 2016","50,653.54","50,764.35","50,812.52","50,456.59","83.81M","-0.06%"
"Dec 29, 2016","50,682.08","50,429.23","50,754.06","50,322.60","111.51M","0.71%"
"Dec 28, 2016","50,322.72","49,786.78","50,465.63","49,786.78","114.69M","1.87%"
"Dec 23, 2016","49,400.56","49,814.25","49,814.25","49,340.38","54.55M","-0.87%"
"Dec 22, 2016","49,833.77","50,203.07","50,203.07","49,761.97","127.42M","-0.66%"
"Dec 21, 2016","50,163.92","50,359.22","50,359.22","50,136.15","-","-0.36%"
"Dec 20, 2016","50,343.24","49,877.39","50,410.75","49,877.39","-","0.93%"
"Dec 19, 2016","49,880.99","50,093.60","50,266.10","49,880.99","208.21M","0.38%"
"Dec 15, 2016","49,691.31","50,389.04","50,530.27","49,691.31","-","-2.02%"
"Dec 14, 2016","50,716.25","50,987.29","51,072.40","50,583.88","255.79M","-0.24%"
"Dec 13, 2016","50,839.25","50,414.17","50,849.82","50,385.01","270.60M","0.62%"
"Dec 12, 2016","50,527.86","50,837.17","51,211.03","50,432.01","229.83M","-0.73%"
"Dec 09, 2016","50,899.92","50,312.82","50,900.39","50,269.60","234.23M","0.71%"
"Dec 08, 2016","50,543.44","49,896.75","50,543.44","49,830.82","274.40M","2.16%"
"Dec 07, 2016","49,476.06","49,180.09","49,548.19","49,126.36","234.79M","1.10%"
"Dec 06, 2016","48,935.90","49,769.15","49,842.86","48,935.90","215.16M","-1.56%"
"Dec 05, 2016","49,713.56","49,260.95","49,876.45","49,000.55","253.51M","0.93%"
"Dec 02, 2016","49,256.10","49,621.91","49,666.83","49,054.41","287.60M","-1.34%"
"Dec 01, 2016","49,927.00","50,329.40","50,471.51","49,650.28","415.50M","-0.56%"
"Nov 30, 2016","50,209.43","50,242.15","50,532.42","50,052.11","342.46M","0.10%"
"Nov 29, 2016","50,157.28","50,262.58","50,642.07","50,154.93","264.28M","-0.07%"
"Nov 28, 2016","50,193.64","50,776.58","50,982.26","50,193.64","210.61M","-0.99%"
"Nov 25, 2016","50,696.10","50,695.54","50,696.10","50,297.42","160.26M","0.27%"
"Nov 24, 2016","50,561.43","50,835.66","50,865.81","50,417.34","197.05M","-0.11%"
"Nov 23, 2016","50,616.43","51,187.86","51,374.22","50,517.73","246.06M","-0.98%"
"Nov 22, 2016","51,117.74","51,033.89","51,242.64","51,033.89","274.15M","1.03%"
"Nov 21, 2016","50,596.52","50,510.30","50,886.43","50,412.74","200.32M","-0.06%"
