"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 03, 2017","81,900","82,151","83,400","81,900","1.88M","-0.24%"
"Feb 02, 2017","82,100","82,500","82,729","81,897","1.39M","-0.55%"
"Feb 01, 2017","82,550","82,556","83,349","82,388","2.13M","0.71%"
"Jan 31, 2017","81,965","82,565","82,838","81,600","492.46K","-1.20%"
"Jan 30, 2017","82,958","83,293","83,849","82,000","850.49K","-0.40%"
"Jan 27, 2017","83,293","82,750","84,000","82,391","698.61K","0.97%"
"Jan 26, 2017","82,494","81,233","82,981","81,233","456.01K","1.79%"
"Jan 25, 2017","81,040","80,001","81,378","80,001","342.80K","1.56%"
"Jan 24, 2017","79,799","80,276","80,478","79,507","577.52K","-0.59%"
"Jan 23, 2017","80,276","79,663","80,448","79,251","1.32M","1.10%"
"Jan 20, 2017","79,402","78,800","79,708","78,133","2.13M","0.26%"
"Jan 19, 2017","79,200","77,350","79,325","76,762","747.06K","2.40%"
"Jan 18, 2017","77,341","77,000","78,599","76,499","696.08K","0.44%"
"Jan 17, 2017","77,000","77,533","78,970","76,750","863.92K","-1.57%"
"Jan 16, 2017","78,232","77,533","78,232","77,290","220.55K","0.90%"
"Jan 13, 2017","77,533","78,300","78,300","77,409","202.44K","-0.34%"
"Jan 12, 2017","77,801","79,200","79,200","77,801","478.71K","-1.96%"
"Jan 11, 2017","79,359","77,250","79,359","77,203","598.70K","2.80%"
"Jan 10, 2017","77,200","77,466","77,747","76,905","240.87K","-0.34%"
"Jan 09, 2017","77,466","77,096","77,889","76,875","185.91K","0.48%"
"Jan 06, 2017","77,096","76,825","77,842","76,701","348.27K","0.35%"
"Jan 05, 2017","76,825","76,750","77,760","76,334","237.01K","-0.29%"
"Jan 04, 2017","77,050","77,975","77,975","76,756","291.28K","-1.19%"
"Jan 03, 2017","77,975","77,800","78,440","77,635","254.86K","0.15%"
"Dec 30, 2016","77,861","76,800","78,244","76,800","74.52K","1.47%"
"Dec 29, 2016","76,731","77,749","77,749","76,424","288.57K","-0.61%"
"Dec 28, 2016","77,201","77,900","79,001","76,903","174.49K","-0.53%"
"Dec 23, 2016","77,615","78,999","78,999","77,615","131.02K","-1.34%"
"Dec 22, 2016","78,672","78,899","78,952","78,048","258.57K","-0.06%"
"Dec 21, 2016","78,723","78,900","78,934","78,289","238.92K","-0.42%"
"Dec 20, 2016","79,054","79,000","79,734","79,000","377.30K","0.10%"
"Dec 19, 2016","78,978","78,107","79,502","77,700","352.00K","1.20%"
"Dec 15, 2016","78,044","77,874","79,244","77,324","2.96M","0.22%"
"Dec 14, 2016","77,874","77,150","78,000","76,123","491.71K","1.66%"
"Dec 13, 2016","76,600","75,101","76,600","75,101","438.50K","1.72%"
"Dec 12, 2016","75,306","76,800","77,377","75,008","442.41K","-1.56%"
